Longitude (x),Latitude (y),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Available_Water_Storage_mm_m,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,tcco2_column,nuevos1_co2_1000hPa,nuevos1_co_1000hPa,fco2gpp_flux,cape_geop_conv,surf_geop_z,geop_z_1000hPa
49.0,39.4,21.21767,43.677246,34.68,10.022916,26.049377,8.0,150.0,-24.470881,32.81872966237651,foredeep basin,207.5106332215294,nicrpge,336.0391494870801,150.52188223019257,2.0,Minerales Industriales,6.47,0.22,-13.0,0.2223218058869766,Unconsolidated sediments,423.0776062011719,0.0006564519717358053,1.5398015307255264e-07,0.0,41.75297546386719,-421.45904541015625,1912.8486328125
49.0,39.9,18.583498,-17.259098,31.049999,10.097917,34.703342,8.3,150.0,-0.087357953,37.067102346376274,foredeep basin,246.33248445952088,nicrpge,334.3482884478403,104.74540863503265,3.0,Minerales Industriales,6.2,0.19,-15.2,0.2630846084734859,Unconsolidated sediments,422.933349609375,0.0006579498294740915,1.5614243409345363e-07,0.0,38.949405670166016,180.54090881347656,1904.940185546875
49.7,41.1,20.574394,-11.460509,46.860001,0.0,12.927335,6.8,150.0,-27.0,72.7441850175968,foredeep basin,348.8317144412178,porcu,438.3225141240188,56.14885600010073,3.0,Minerales Industriales,0.0,0.22,-13.0,,Unconsolidated sediments,422.567626953125,0.0006549531826749444,1.4621642208112462e-07,0.0,7.11904764175415,-299.45904541015625,1811.788330078125
50.2,41.1,20.181072,-34.263954,117.94,0.0,27.562683,7.200462962962963,150.0,0.0,59.44465447652618,foredeep basin,378.6539218072386,sedcu,490.8086637254896,83.89718368407902,3.0,Minerales Industriales,0.0,0.22,-13.0,,Unconsolidated sediments,422.5543212890625,0.0006538540474139154,1.4469171105702117e-07,0.0,7.0714287757873535,-299.45904541015625,1843.5718994140625
50.3,39.5,21.641415,7.8466845,62.880001,0.0,27.562683,7.200462962962963,150.0,0.0,116.94973452477672,foredeep basin,325.8955434857151,potash,442.1630628195894,142.54922865494547,3.0,Minerales Industriales,0.0,0.22,-13.0,,Unconsolidated sediments,422.8785705566406,0.0006534160347655416,1.4459240560427133e-07,0.0,24.752975463867188,-275.45904541015625,1905.033935546875
50.6,40.4,20.250908,-48.621269,55.709999,0.0,27.262203,6.8,150.0,-27.0,47.80546810693893,foredeep basin,416.1375047985945,nicrpge,516.6764205844896,109.39891731694632,3.0,Minerales Industriales,0.0,0.19,-15.2,,Siliciclastic sedimentary rocks,422.71112060546875,0.0006535536958836019,1.4379033075329062e-07,0.0,10.208333015441895,-271.45904541015625,1885.3955078125
50.8,40.8,20.22331,-33.542774,62.860001,0.0,27.562683,7.200462962962963,150.0,-27.0,71.34531799192276,passive margin,407.03783915012497,sedcu,546.4563708000851,131.28065870538563,3.0,Minerales Industriales,0.0,0.22,-13.0,,Unconsolidated sediments,422.6434631347656,0.000653429829981178,1.4431795136715664e-07,0.0,7.36904764175415,-301.45904541015625,1880.5316162109375
-25.5,38.0,31.906656,313.00323,71.199997,0.0,-3.4e+38,6.7,15.0,0.0,23.86525813813917,oceanic crust,1869.1180270051684,vms,25.74625798052958,1823.9524307450688,-1.0,Metales Base,0.0,,,,Intermediate volcanic rocks,421.8188781738281,0.000647042877972126,1.0460683341761978e-07,0.0,62.9226188659668,-579.4590454101562,1874.569580078125
5.2,50.4,33.566345,102.20777,80.639999,4.6159725,74.188522,6.7,50.0,270.50284,91.64383043033816,orogenic belt,33.96151778706828,phosphate,184.92080304822383,30.21390092651417,1.0,Minerales Industriales,19.28,0.06,-11.8,0.0437422378814234,Siliciclastic sedimentary rocks,421.848388671875,0.0006670121219940484,1.9805811746209656e-07,0.0,9.6875,2548.540283203125,1657.9404296875
17.4,44.6,28.418505,96.06839,61.580002,5.7548609,55.452366,7.1,15.0,430.73154,6.941100820986029,wide rift,82.40955769812165,nicrpge,533.7878744941667,30.66075387824156,2.0,Minerales Industriales,35.0,0.06,-11.8,0.1552184611720313,Siliciclastic sedimentary rocks,422.001220703125,0.0006698248325847089,1.971757939145391e-07,0.0,6.839285850524902,5678.54150390625,1857.6075439453125
17.8,44.2,31.137848,70.337753,67.580002,5.4395838,51.283047,5.45,125.0,618.04828,15.767678659875958,accretionary complex,53.37241984396087,nicrpge,530.0353676472924,3.895868189685738,2.0,Minerales Industriales,20.59,0.19,-15.2,0.1567937951249973,Siliciclastic sedimentary rocks,422.302001953125,0.0006690562004223466,2.8717730060634494e-07,0.0,3.315476179122925,6494.5400390625,1892.8909912109375
18.6,44.8,32.158363,113.0565,71.550003,6.7493057,45.883549,6.0,125.0,180.49858,39.36658135493781,wide rift,76.37366875090059,sedznpb,640.1026231449142,32.417888338244566,2.0,Minerales Industriales,21.82,0.19,-15.2,0.1304490580944047,Mixed sedimentary rocks,422.0297546386719,0.0006687695276923478,2.411350124020828e-07,0.0,4.407738208770752,2082.53955078125,1868.7437744140625
18.7,43.8,22.124876,64.248146,50.59,4.1138892,80.611336,5.85,15.0,926.09515,33.67545850756926,accretionary complex,53.72303768842269,sedznpb,578.2824837023857,47.261949120875656,2.0,Minerales Industriales,41.18,0.19,-15.2,0.155313869190737,Siliciclastic sedimentary rocks,421.7541809082031,0.0006647745030932128,1.766741917208492e-07,4.490305460791433e-09,4.9375,10894.5400390625,1867.100830078125
18.8,44.4,31.349426,94.611931,69.160004,6.0833335,52.710926,5.85,125.0,379.32031,10.798590868875168,accretionary complex,55.27419179392754,sedznpb,627.332848300645,20.547591009918733,2.0,Minerales Industriales,35.2,0.06,-11.8,0.1437224531723334,Carbonate sedimentary rocks,422.0285949707031,0.0006734533235430717,2.1537098859880643e-07,0.0,3.9166667461395264,4062.542724609375,1874.8397216796875
19.4,44.0,43.47757,79.294182,97.389999,5.0277777,61.084122,5.0,100.0,668.10016,45.16956012083492,accretionary complex,24.82035455024802,nicrpge,655.2452976992662,13.105576145766769,2.0,Desconocido,36.75,0.19,-15.2,0.1458866814536552,Carbonate sedimentary rocks,421.90802001953125,0.000669081520754844,1.9796675587713253e-07,0.0,2.6666667461395264,6988.5390625,1896.6923828125
-47.69999999999999,-18.3,27.799902,46.10862,67.050003,13.768056,42.166306,6.3,150.0,734.10083,1719.8412885099317,orogenic belt,10.786943734760731,phosphate,2180.1001901059503,10.83812651235425,3.0,Desconocido,13.22,0.01,-14.1,0.0,Metamorphics,428.08843994140625,0.0006500669987872243,1.987058766417249e-07,0.0,287.2083435058594,6956.5390625,1043.389404296875
-45.60000000000002,-20.0,25.85796,40.346283,64.260002,13.326389,46.70396,5.2,150.0,656.61432,1934.327878456389,orogenic belt,51.07206379225302,nicrpge,2360.876063011357,33.07200405975591,3.0,Minerales Industriales,9.36,0.19,-13.0,0.0,Unconsolidated sediments,426.8917541503906,0.0006551716942340136,1.8557591374701587e-07,0.0,106.7827377319336,6442.5400390625,1071.1103515625
-45.10000000000002,-20.5,27.044634,73.068764,60.290001,12.268056,44.8032,4.8,150.0,852.46448,1986.3026268631843,orogenic belt,77.10306414144662,nicrpge,2405.672196060802,8.475739407160754,3.0,Minerales Industriales,13.11,0.22,-13.0,0.0,Acid plutonic rocks,426.2977600097656,0.0006428902852348983,1.810029743865016e-07,0.0,47.369049072265625,8892.537109375,1160.5322265625
22.8,42.4,31.432756,65.997681,73.360001,4.6729169,45.420021,6.4,15.0,971.22369,10.208864082017897,magmatic province,39.02579275299686,phosphate,534.0240059435248,43.50888754212525,1.0,Desconocido,26.52,0.06,-11.8,0.218802637517103,Mixed sedimentary rocks,422.147705078125,0.0006735681090503931,1.8208002927622147e-07,0.0,1.6994047164916992,7706.53857421875,1859.6253662109375
23.2,43.0,32.456306,81.152328,75.089996,4.5215278,44.388332,5.6,15.0,872.7514,36.76711349616629,magmatic province,34.51871193441082,sedznpb,597.518078491329,57.314145698684406,1.0,Desconocido,34.95,0.19,-15.2,0.1984891818346759,Siliciclastic sedimentary rocks,422.0059509277344,0.0006613333243876696,1.7627640147566126e-07,0.0,0.4791666567325592,9864.5380859375,1858.132080078125
