Longitude (x),Latitude (y),Flux (gm-2d-1),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Available_Water_Storage_mm/m,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,CO2_1000hPa,CO_1000hPa,Geopotential_1000hPa,Flux_CO2_GPP,Total_Column_CO2,Geopotential_Sup_Avg
102.63,27.2,81.38,28.439159,-151.47136,67.07,10.178472,46.562202,5.85,1401.9219,13.061664737952798,craton,42.777669294627366,sedznpb,507.9120335254896,36.20221613935925,2.0,Metales Base,150.0,12.52,0.19,-15.2,0.4198924371408677,Carbonate sedimentary rocks,0.0006982828490436,3.259887932927086e-07,1604.9136962890625,1.8573093996110401e-07,423.8692932128906,21622.54296875
102.64,27.17,89.63,28.439159,-147.67499,65.755005,10.230556,46.94939,4.95,1393.5363,9.956098849959508,craton,43.21229790557702,sedznpb,507.4921942256833,36.94898867774321,2.0,Metales Base,150.0,18.2,0.06,-11.8,0.4081644000782174,Carbonate sedimentary rocks,0.0006982828490436,3.259887932927086e-07,1604.9136962890625,1.8573093996110401e-07,423.8692932128906,21622.54296875
102.65,27.14,82.61,28.439159,-166.81718,65.755005,9.3840284,47.632,5.725,1483.9382,7.230679283002886,craton,43.924006992534096,sedznpb,507.0963050545716,33.53393368377721,2.0,Metales Base,150.0,26.044444444444444,0.19,-15.2,0.4218396633158493,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.67,27.12,85.71,29.581848,-165.90857,66.230003,9.3562508,50.463467,6.7,1552.3018,4.431345909297179,craton,43.3467321753328,sedznpb,508.1933500155219,30.47667634615015,2.0,Metales Base,150.0,27.18,0.19,-15.2,0.4355149265534812,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.69,27.1,93.19,29.581848,-159.60857,66.230003,9.2895832,50.659245,6.55,1509.1611,2.589310765829045,craton,42.99155254558591,sedznpb,509.30738557377936,27.438011843207672,2.0,Metales Base,150.0,23.933333333333334,0.19,-15.2,0.4184185210672184,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.7,27.07,109.49,30.724537,-159.71164,66.230003,10.358333,49.102047,7.3,1306.0869,4.892090435133847,craton,44.433753952144656,sedznpb,508.9758516865008,24.0043878886337,2.0,Metales Base,150.0,17.78,0.06,-11.8,0.4129398996401878,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.71,27.06,99.74,30.724537,-148.73424,66.230003,10.473611,47.786011,7.2,1234.2299,5.892011597292236,craton,44.455315658306965,sedznpb,509.54924492142845,22.482624052988164,2.0,Metales Base,150.0,20.185185185185187,0.06,-11.8,0.405528399759592,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.72,27.06,84.78,30.724537,-139.93715,66.230003,10.988888,46.819168,7.45,1207.3488,6.009672963358632,craton,43.7029408653422,sedznpb,510.5674228738045,21.943368745659576,2.0,Metales Base,150.0,15.588888888888889,0.06,-11.8,0.4021218996393881,Carbonate sedimentary rocks,0.0007038432522676,3.324366275592183e-07,1620.2998046875,1.923264250081047e-07,424.0249328613281,18034.548828125
102.72,27.05,117.03,30.724537,-145.84489,67.793335,10.982639,46.43586,7.45,1177.718,7.101228942916772,craton,44.53223652905355,sedznpb,510.126824230993,20.967940545222795,2.0,Metales Base,150.0,12.49,0.06,-11.8,0.4021218996393881,Carbonate sedimentary rocks,0.0007018615724518,3.243603146074747e-07,1593.3087158203125,1.6780229827872972e-07,424.2388916015625,17252.548828125
102.74,27.04,55.21,30.724537,-139.2408,67.919998,10.847917,46.551762,7.066666666666666,1159.673,8.79751514921749,craton,43.97151168972286,sedznpb,511.7292621103448,18.96682695413232,2.0,Metales Base,150.0,10.34567901234568,0.09,-12.5,0.4063275997595921,Carbonate sedimentary rocks,0.0007018615724518,3.243603146074747e-07,1593.3087158203125,1.6780229827872972e-07,424.2388916015625,17252.548828125
102.75,27.05,143.79,30.724537,-119.93765,67.919998,10.414583,47.027172,6.6,1217.1847,8.331491936706911,craton,42.41369048172208,sedznpb,513.1862653072454,19.5593679219958,2.0,Metales Base,150.0,7.08,0.09,-12.5,0.4081293375880026,Carbonate sedimentary rocks,0.0007024662336334,3.702714934661344e-07,1581.723876953125,1.789282748632104e-07,424.0821228027344,11854.5419921875
102.76,27.04,86.73,30.724537,-132.76457,67.919998,10.396527,47.212048,6.166666666666667,1278.2681,9.87149480719698,craton,42.63903305985273,sedznpb,513.7717466930222,18.14045258277715,2.0,Metales Base,150.0,12.419753086419751,0.09,-12.5,0.4063263170238781,Carbonate sedimentary rocks,0.0007024662336334,3.702714934661344e-07,1581.723876953125,1.789282748632104e-07,424.0821228027344,11854.5419921875
102.77,27.03,111.38,30.724537,-135.09056,69.610001,10.53125,47.578838,6.3,1324.1902,11.419608643276543,craton,42.9206423563203,sedznpb,514.3613524556429,16.74847952227321,2.0,Metales Base,150.0,15.02,0.09,-12.5,0.4141367755366171,Carbonate sedimentary rocks,0.0007024662336334,3.702714934661344e-07,1581.723876953125,1.789282748632104e-07,424.0821228027344,11854.5419921875
